Metapán,10.0
Quezaltepeque,5.783082344071776e-08
San Marcos,9.55712574950645e-11
San Vicente,8.336542798412521e-14
Cuscatancingo,4.462509142252786e-16
Nahuizalco,2.649195217384418e-19
Cojutepeque,5.261990108263483e-20
Jiquilisco,1.2616445571447113e-20
San Martín,9.610295643774543e-23
San Pedro Perulapán,3.186362458977862e-23
San Juan Opico,7.074216483411306e-24
Zacatecoluca,1.951218332785184e-24
Panchimalco,1.5822524809451177e-25
Ciudad Barrios,5.816142291667717e-26
Santiago Nonualco,2.688645178792071e-26
La Libertad,3.772235528257992e-28
Nejapa,3.6600340870583813e-28
Armenia,1.3521514870388244e-28
Ayutuxtepeque,1.1246375785508973e-28
Antiguo Cuscatlán,4.6047125760780326e-29
Atiquizaya,4.1873844536558815e-29
Tacuba,2.3185289632369825e-30
La Unión,2.1233417941296547e-30
Chalatenango,1.5411528218531107e-30
Chalchuapa,7.104524117865784e-31
Tonacatepeque,4.018162352198762e-31
Sensuntepeque,3.4935729704937343e-31
Acajutla,2.0542357501351643e-31
Santo Tomás,1.3139754446311458e-31
Sonzacate,1.0835381215805503e-31
Juayúa,8.016187857958397e-32
Colón,1.43469576272358e-32
San Francisco,1.385552054755085e-32
San Pablo Tacachico,1.0035470917445806e-32
Guaymango,7.644284307110301e-33
Puerto El Triunfo,7.060869018313269e-33
Santiago Texacuangos,6.534292194150636e-33
Santiago de María,3.814544593575158e-33
Texistepeque,3.721017715352195e-33
Concepción de Ataco,3.6548503135762655e-33
San Alejo,2.9546210884480872e-33
Anamorós,1.9554211158170806e-33
Jayaque,1.0467416793104936e-33
El Paisnal,8.834008411114404e-34
Huizúcar,8.554184439360505e-34
Tepecoyo,8.110134150273687e-34
Ilopango,7.892354439369351e-34
Cuisnahuat,4.474322882394078e-34
Teotepeque,3.951550507890063e-34
Sacacoyo,3.922879373501988e-34
Comasagua,3.3844623236372188e-34
Chiltiupán,2.440417628229664e-34
Jocoro,1.8574572286464796e-34
Caluco,1.3873417376528862e-34
Estanzuelas,1.3347746335645377e-34
Nueva Guadalupe,1.2899786418310516e-34
Agua Caliente,1.0588380472403543e-34
Talnique,1.0565914936433485e-34
El Porvenir,1.0495651273067772e-34
El Divisadero,9.847374949079077e-35
San Juan Talpa,8.963073356159742e-35
Sonsonate,8.707160633403761e-35
Ahuachapán,8.681320761047669e-35
Santo Domingo de Guzmán,7.394152290971752e-35
El Triunfo,7.117098163177817e-35
Nuevo Cuscatlán,7.06143569636039e-35
San Gerardo,5.583787724289863e-35
Jicalapa,4.267125187376231e-35
Delgado,7.143831557591026e-36
Apopa,8.302030942468927e-37
Santa Tecla,4.231579720633569e-37
Mejicanos,1.9781832560317293e-37
San Miguel,6.09226864956142e-40
Soyapango,2.6693187175586824e-40
Santa Ana,1.2009876582016285e-40
Usulután,2.0957244234740703e-41
San Salvador,5.6614321611793595e-42
