Mayarí,10.0
Contramaestre,0.0009142680529034963
San Luis,6.535247571401425e-10
Jagüey Grande,2.0717134662582705e-10
Consolación del Sur,1.3610602116336712e-10
Baracoa,5.235911864096417e-15
Palma Soriano,1.5650852993696552e-16
Moa,6.008750554131173e-18
Colón,2.3877146666595953e-18
Florida,1.8088775269343786e-18
Placetas,1.2174889346699068e-18
Gibara,1.136590531859654e-18
Güines,4.1094743595271843e-20
Sancti Spíritus,3.466761950579678e-21
Centro Habana,1.1342540592665168e-21
Yara,2.9549025795743078e-22
Morón,2.87880209466086e-22
Artemisa,2.496807338070402e-22
Jovellanos,1.9242940584451798e-22
Ciego de Ávila,1.6309300190584742e-22
Matanzas,5.920642779658287e-23
Bartolomé Masó,5.474255779256023e-23
Sagua la Grande,9.250859771409273e-24
Manzanillo,3.1070015712442336e-24
Jobabo,6.271824135290558e-25
Salvador,3.179612146034447e-25
Remedios,2.981937078531279e-25
San José de las Lajas,2.9271650064280363e-25
Nueva Gerona,2.9271650064280363e-25
San Juan y Martínez,1.754136152376675e-25
Bahía Honda,1.2370548615037548e-25
Jatibonico,1.0034461126187168e-25
Mariel,8.370186446579816e-26
Niquero,5.158925037925544e-26
Chambas,4.686068639289018e-26
Nuevitas,2.2210925895782638e-26
Los Palacios,2.017885352207627e-26
Caibarién,1.8421992961500462e-26
Güira de Melena,1.464367972277616e-26
Cienfuegos,1.0614287674902395e-26
Caimito,1.0209260579296001e-26
Guane,7.002792872285384e-27
Guamá Abajo,6.538356764524653e-27
La Palma,6.172801503759084e-27
Banes,4.5761088700862375e-27
San Antonio de los Baños,3.7045238038157985e-27
Mella,3.534108816616318e-27
San Luis,2.8825077335973534e-27
Baraguá,2.7643092597865928e-27
Cabaiguán,2.0689126736242567e-27
Alquízar,9.912081314948754e-28
Quivicán,8.887664000671352e-28
San Cristóbal,8.538505141889418e-28
Primero de Enero,8.533405641835599e-28
Venezuela,7.04222134456244e-28
Ciro Redondo,6.83768525972616e-28
Viñales,5.737742976941605e-28
Majagua,4.373343792826047e-28
San Antonio del Sur,3.99080314514082e-28
Surgidero de Batabanó,3.1444600872541653e-28
Nueva Paz,2.143435861906618e-28
Bauta,1.7634767734128076e-28
Abreus,1.578559442949461e-28
Guanajay,1.455336153792767e-28
Lajas,1.3666883296656484e-28
San Nicolás,1.0408285513576613e-28
Manuel Tames,9.565675938522316e-29
Varadero,9.401711166135308e-29
Florencia,9.353350789438714e-29
Melena del Sur,8.218440435660907e-29
Candelaria,6.185909229517215e-29
Najasa,2.3806886528038258e-29
Pinar del Río,1.3902541044862775e-29
Imías,6.419922455178792e-30
Caimanera,5.30070220701592e-30
Las Tunas,9.078696931349931e-31
Santa Clara,3.271924298596317e-31
Arroyo Naranjo,2.320314269347152e-31
Carlos Manuel de Céspedes,2.7786627810216784e-32
Guantánamo,1.66229629677781e-32
Bayamo,7.374055292876816e-33
Camagüey,9.25686511293411e-36
Holguín,2.5671233303007542e-36
Santiago de Cuba,1.4122320426486725e-37
Havana,1.2064217730820927e-40
