Yumbo,10.0
Mosquera,2.726435690959184
Arauca,1.6004730127585165
Jamundí,1.2479539592089708
Fundación,0.9350537759534607
Ocaña,0.48679499307072266
Chía,0.36272352430649457
Montelíbano,0.07912457093291121
Chiquinquirá,0.0011382626488323417
Sabanalarga,0.00041180901279267297
Chigorodó,0.00031649462829112356
Cereté,0.00023295256543833382
Caldas,1.392505953760875e-05
Funza,8.663844938536333e-06
Los Patios,4.135976830858377e-06
Tierralta,9.212578288905282e-07
El Carmen de Bolívar,8.84033377284257e-07
Ipiales,7.765401179813835e-07
La Dorada,7.313584406986777e-07
Aguachica,4.695807387048344e-07
Arjona,4.5817268693999845e-07
Santander de Quilichao,1.919289627414029e-07
Turbaco,7.638683624993127e-08
Espinal,5.291378119516362e-08
Madrid,3.760251919569006e-08
Acacías,3.095790995062463e-08
Copacabana,6.766486727918016e-09
Santa Rosa de Cabal,4.178272770791831e-09
San Vicente del Caguán,3.898723086314852e-09
San Andrés,1.6360886064140392e-09
Corozal,6.49472972640208e-10
Guadalajara de Buga,6.333358276854111e-10
Facatativá,5.186900533428113e-10
Piedecuesta,4.284248407984733e-10
Uribia,3.319847185480659e-10
Villa del Rosario,2.7985345440751344e-10
Garzón,2.775793797877275e-10
Planeta Rica,1.7943426950018306e-10
Necoclí,1.533851757430882e-10
San José del Guaviare,1.294359504369101e-10
Manaure,4.6709002689030346e-11
Marinilla,5.115082839114445e-12
Ciénaga de Oro,3.77341555836236e-12
Maicao,3.1124539398560862e-12
Magangué,2.7967938591986677e-12
Puerto Asís,1.649138438833584e-12
Riosucio,9.613175040992395e-13
Plato,7.091873771919695e-13
Carepa,6.118445159742915e-13
Cajicá,5.744994188628289e-13
Duitama,4.079513245433671e-13
Villamaría,3.2942324209905905e-13
San Marcos,1.9927699020529325e-13
Girardota,1.2932113396451687e-13
Florida,1.0422944136733439e-13
Pamplona,1.0335315635573847e-13
Pradera,5.485716224854373e-14
Girardot,5.1210000232402516e-14
Orito,4.7821221254330144e-14
Puerto Boyacá,2.8125162695107683e-14
Quibdó,2.7446984440498285e-14
Sogamoso,2.306267533712272e-14
Ciénaga,2.2138748645266605e-14
El Banco,1.1883763271314354e-14
San Gil,7.152953524971138e-15
Sabaneta,6.6825601030101475e-15
Pitalito,6.439687829636081e-15
Valle del Guamuez,5.473210497120858e-15
Puerto Libertador,4.729973847101149e-15
Tame,3.095764291333411e-15
Barbosa,2.92273828982858e-15
Cartago,2.488060141996929e-15
Lorica,2.3245624295010127e-15
San Onofre,1.4879852212228034e-15
Guarne,9.880443465701284e-16
El Bagre,7.894680811827926e-16
Chinú,5.823448273717289e-16
Baranoa,5.659191769656788e-16
Puerto Berrío,5.569674353515952e-16
Cimitarra,3.9280403497088626e-16
María la Baja,3.6585001386501653e-16
Agustín Codazzi,3.232292423109813e-16
Samaniego,3.1377931289930223e-16
Carmen de Viboral,2.970023810816127e-16
Yarumal,2.247916294463017e-16
Fusagasugá,1.5968004802440094e-16
La Vega,1.2322748529138122e-16
Chaparral,1.2194688531072939e-16
Andes,1.2112189212567176e-16
San Andrés de Sotavento,1.148457826989515e-16
Ayapel,1.1277052823474752e-16
Urrao,1.0600017188072858e-16
Zarzal,1.0242779233029485e-16
Valencia,9.403125423750384e-17
