Mercedes,10.0
Tacuarembó,9.307205256696506
Maldonado,0.4433965256199782
Melo,0.42644417204504953
Artigas,0.3581951200629257
Minas,0.0023891603151736628
San José,7.791932504220569e-05
Durazno,1.0906589628136306e-06
Florida,3.253778564639197e-07
Barros Blancos,1.5146375181257622e-08
Colonia del Sacramento,1.3748340346323505e-11
Pando,9.98805109199925e-12
Treinta y Tres,5.9015577386003975e-12
Rocha,5.554428080828521e-12
Las Piedras,3.3414526264684305e-12
Fray Bentos,1.8587121100989434e-12
Trinidad,9.67907580589803e-14
Canelones,2.3450978105368323e-14
Paysandú,2.2048659003612838e-14
Bella Unión,1.208478017783998e-14
Carmelo,4.9785313608504005e-15
Rivera,2.784288477956464e-15
Santa Lucía,1.7570625323250974e-15
Dolores,8.210847905968283e-16
Río Branco,3.505899496007615e-16
Paso de los Toros,1.1178828413872255e-16
Libertad,4.02228270062951e-17
Nueva Helvecia,2.3603417113147997e-17
Nueva Palmira,1.4534813402960805e-17
Rosario,1.0394438779418792e-17
Punta del Este,1.0181634478359226e-17
Piriápolis,7.77333950378475e-18
Salinas,6.881198909996658e-18
Parque del Plata,4.476757103160372e-18
Lascano,3.870308367009034e-18
Castillos,3.644983922942732e-18
Tranqueras,3.507177926350279e-18
Sarandí del Yi,2.9575374872483004e-18
San Ramón,2.8860541648596777e-18
San Jacinto,2.6762545287664604e-18
Pan de Azúcar,2.133156221814319e-18
Sauce,1.6476228527948141e-18
Sarandí Grande,1.6458065680462683e-18
Atlántida,1.206431516550955e-18
José Pedro Varela,9.498678687322088e-19
Tala,9.35252169913079e-19
Guichón,9.03830625364133e-19
Vergara,5.269111127590495e-19
La Paloma,3.556748689128099e-19
Aiguá,2.714774302617197e-19
Baltasar Brum,2.4886451602679944e-19
José Batlle y Ordóñez,2.3931741807352084e-19
Ciudad de la Costa,1.6471134235134205e-22
Salto,5.7594033473803795e-24
Montevideo,1.628327112139691e-33
