Hallein,10.0
Mödling,0.6171443548278047
Kapfenberg,0.06298542426692227
Lustenau,0.057014408178868194
Kufstein,0.0020667648145164612
Amstetten,0.0017604788587866171
Traiskirchen,0.000487061485759355
Traun,7.349560274890722e-05
Krems an der Donau,4.486566143483842e-05
Leoben,3.9437662002018344e-05
Schwechat,2.134494187426118e-05
Wolfsberg,9.616266293015461e-06
Braunau am Inn,8.2902779182199e-07
Stockerau,4.565757949579857e-07
Saalfelden am Steinernen Meer,2.2483322184696438e-07
Hohenems,6.595576565791509e-08
Ansfelden,4.4834071172817256e-08
Bruck an der Mur,1.493078522168002e-08
Klosterneuburg,1.2602817878671234e-08
Telfs,1.137042355125116e-08
Spittal an der Drau,4.205605530733485e-09
Perchtoldsdorf,1.4553153560362373e-09
Ternitz,4.523741593527854e-10
Bludenz,3.4987256315437565e-10
Sankt Pölten,2.9427423312698604e-10
Eisenstadt,2.9427423312698604e-10
Feldkirchen,1.3842863746374324e-10
Leonding,1.1884284037068366e-10
Bad Ischl,1.1630573430710224e-10
Hall in Tirol,6.223061862043718e-11
Wörgl,4.967954738151921e-11
Schwaz,4.0025373699826006e-11
Marchtrenk,2.8977135712145458e-11
Hard,2.1971362873869327e-11
Feldbach,1.5950943233086067e-11
Gmunden,1.019579433330417e-11
Bregenz,6.886497598174985e-12
Korneuburg,6.131487368835371e-12
Neunkirchen,4.7156421690434756e-12
Knittelfeld,2.5543241963585853e-12
Sankt Veit an der Glan,2.113892593162086e-12
Vöcklabruck,8.871941406694838e-13
Leibnitz,8.810152805373731e-13
Enns,5.07166753769417e-13
Ried im Innkreis,4.691865766514771e-13
Brunn am Gebirge,4.2920435197669415e-13
Rankweil,4.1762118550128296e-13
Lienz,4.100783065483133e-13
Bad Vöslau,4.100783065483133e-13
Hollabrunn,2.834679186207833e-13
Deutschlandsberg,2.722087397782868e-13
Mistelbach,2.1558324857522911e-13
Götzis,1.7798608540162575e-13
Weiz,1.6214797994403397e-13
Gänserndorf,1.5273958691488044e-13
Waidhofen an der Ybbs,1.3058924312921195e-13
Sankt Johann im Pongau,1.0531962764677125e-13
Groß-Enzersdorf,9.88522219600679e-14
Gerasdorf bei Wien,8.845271271158829e-14
Trofaiach,8.286847562985e-14
Völkermarkt,5.6305825667636015e-14
Ebreichsdorf,5.582453988032774e-14
